covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
credit_report_good_standing_items,-0.0034674997609187596,0.9965385050737845,0.08117851444600133,-0.16257446439354586,0.15563946487170835,0.8499527966493234,1.168404876140934,0.0,-0.042714501301022036,0.9659291197537829,0.05001076745313513
business_failure_score,-0.014236782025437197,0.9858640817300092,0.08047519408545543,-0.17196526408180063,0.1434917000309262,0.8420084205961499,1.1542972301360361,0.0,-0.17690894923868547,0.8595799090232523,0.21829633186486402
credit_report_credit_score,-0.005895710552780953,0.9941216350437334,0.08109781115561153,-0.16484449964281017,0.15305307853724825,0.8480255621134798,1.1653868343296212,0.0,-0.07269876299704547,0.9420458329316466,0.08613084254968079
ratio_debt_to_revenue,-0.010347116565055166,0.9897062306902504,0.08077092865427861,-0.16865522772529548,0.14796099459518516,0.8448001168399407,1.1594676699751059,0.0,-0.12810446453257482,0.8980663029758071,0.15510613383712057
credit_signal_score,-0.005082540518983335,0.9949303537356404,0.08114361856092343,-0.1641211104736491,0.15395602943568246,0.8486392365562462,1.1664395966435128,0.0,-0.06263635525654199,0.9500560789348774,0.07391542100860186
ca_cum_new_accounts,-0.020148775118421988,0.9800528549803954,0.07921809945438035,-0.17541339697271957,0.13511584673587562,0.8391100634985771,1.1446693828822765,0.0,-0.2543456010330713,0.7992285732902372,0.32331993291913946
log_ca_cum_amount,-0.029403082081852994,0.9710249828006843,0.08001529331058026,-0.186230175182999,0.12742401101929302,0.8300825085977838,1.1358985491886158,0.0,-0.36746827844177987,0.7132697494010656,0.487480306401758
log_ca_cum_payin,-0.028034102788617277,0.9723552062117574,0.07996827763177833,-0.18476904685260281,0.12870084127536824,0.8312962521692868,1.1373498251434087,0.0,-0.3505652943746396,0.7259144971229194,0.46212846655780776
log_ca_cum_payout,-0.028481131245487293,0.9719206329049493,0.0800506885712244,-0.18537759778271923,0.12841533529174465,0.8307905199593377,1.1370251513132232,0.0,-0.3557887103013044,0.7219988044772365,0.469931646661606
ca_latest_rev_ratio,0.0035523248500252003,1.0035586418337232,0.0799143712721669,-0.15307696469058424,0.16018161439063466,0.8580636786644013,1.1737240168081364,0.0,0.044451639842437544,0.9645443996571301,0.05208044532127715
ca_latest_cost_ratio,-0.0035523248500252324,0.9964539771913868,0.0799143712721669,-0.1601816143906347,0.1530769646905842,0.851989041443859,1.1654146712706992,0.0,-0.04445163984243795,0.9645443996571298,0.052080445321277646
