Unnamed: 0,loan,overdraft,primary_sector,company_reg_number,loan_id,loan_start_date,loan_original_amount,loan_status,loan_repayment_frequency,loan_date_due_to_close,loan_amount_outstanding_including_future_interest,interest,loan_number_of_missed_payments,loan_default_date,loan_satisfaction_date,early_repayment_allowed,fixed_interest,total_time_payments_late,loan_key,loan_status_str,event_hard_default,obs_end_date,credit_report_date,missed_and_late_payments_last_five_years,business_failure_score,credit_report_credit_score,credit_report_negative_items,payment_index,ratio_debt_to_revenue,credit_report_total_indebtedness,credit_report_good_standing_items,behavior_distress_flag,origination_credit_distress_flag,event_distress,event_augmented,obs_duration_days,event_date_augmented,event_type_augmented,duration_augmented_days,industry_group,is_overdraft,is_term_loan
10,0,1,"69-75 : Professional, scientific & technical",20000123,20000123_Overdraft_1,2019/12/10,147500,Repaid,Monthly,2020/12/10,0,,0,,2020/3/1,1,0,0,20000123_Overdraft_1,repaid,0,2020/3/1,2021/4/24,0,74,752,0,26,0.141809543,151030,5,0,0,0,0,83,,censored,83,"69-75 : Professional, scientific & technical",1,0
11,0,1,47 : Retail,20000141,20000141_Overdraft_1,2020/11/5,19550,Repaid,Monthly,2021/11/5,0,,0,,2021/2/19,1,0,0,20000141_Overdraft_1,repaid,0,2021/2/19,2021/4/30,0,42,0,1,12,0.038475391,6303,0,0,0,0,0,107,,censored,107,47 : Retail,1,0
12,0,1,85 : Education,20000150,20000150_Overdraft_1,2020/9/17,70750,Defaulted,Weekly,2021/9/17,0,,0,2021/5/4,,,0,0,20000150_Overdraft_1,defaulted,1,2021/9/17,2021/8/15,0,98,800,1,28,0.192207283,119566,3,0,0,0,1,366,2021/5/4,hard_default,230,85 : Education,1,0
13,0,1,85 : Education,20000150,20000150_Overdraft_2,2021/6/14,88300,Available,Monthly,2023/6/14,91566,17,0,,,1,0,0,20000150_Overdraft_2,available,0,2023/6/14,2021/8/15,0,98,800,1,28,0.192207283,119566,3,0,0,0,0,731,,censored,731,85 : Education,1,0
14,0,1,"90-99 : Arts, entertainment, recreation & other",20000165,20000165_Overdraft_1,2021/5/3,19050,Repaid,Monthly,2022/5/3,0,,0,,2022/5/3,1,0,0,20000165_Overdraft_1,repaid,0,2022/5/3,2021/12/1,0,93,791,0,18,0.057080274,8808,0,0,0,0,0,366,,censored,366,"90-99 : Arts, entertainment, recreation & other",1,0
15,0,1,58-63 : Information & communication,20000176,20000176_Overdraft_1,2020/11/11,6650,Repaid,Monthly,2021/11/11,0,,0,,2021/11/11,1,0,0,20000176_Overdraft_1,repaid,0,2021/11/11,2021/10/23,4,62,683,5,57,0.182491599,14609,7,0,0,0,0,366,,censored,366,58-63 : Information & communication,1,0
16,0,1,"90-99 : Arts, entertainment, recreation & other",20000183,20000183_Overdraft_1,2020/1/24,25750,Repaid,Monthly,2021/1/24,0,,0,,2020/4/22,1,1,0,20000183_Overdraft_1,repaid,0,2020/4/22,2021/2/15,0,58,0,4,1,0.046532251,6559,0,0,0,0,0,90,,censored,90,"90-99 : Arts, entertainment, recreation & other",1,0
17,0,1,"69-75 : Professional, scientific & technical",20000195,20000195_Overdraft_1,2021/8/28,19950,Repaid,Monthly,2022/8/28,0,,0,,2021/9/11,1,0,0,20000195_Overdraft_1,repaid,0,2021/9/11,2021/2/18,0,25,620,3,19,0.058357299,7569,3,0,0,0,0,15,,censored,15,"69-75 : Professional, scientific & technical",1,0
18,0,1,49-53 : Transport & Storage (inc. postal),20000205,20000205_Overdraft_1,2020/6/26,43300,Repaid,Monthly,2021/6/26,0,,0,,2021/4/2,1,0,0,20000205_Overdraft_1,repaid,0,2021/4/2,2021/11/29,0,91,844,2,17,0,0,3,0,0,0,0,281,,censored,281,49-53 : Transport & Storage (inc. postal),1,0
19,1,0,41-43 : Construction,20000219,20000219_Loan_1,2021/4/12,33000,Repaid,Monthly,2022/4/12,0,,0,,2021/4/27,1,0,0,20000219_Loan_1,repaid,0,2021/4/27,2020/12/28,0,55,672,3,25,0.058272103,19811,1,0,0,0,0,16,,censored,16,41-43 : Construction,0,1
20,0,1,47 : Retail,20000221,20000221_Overdraft_1,2021/8/20,76050,Repaid,Monthly,2022/8/20,0,,0,,2021/10/14,1,0,0,20000221_Overdraft_1,repaid,0,2021/10/14,2021/7/23,0,53,609,1,4,0.228844709,123026,0,0,0,0,0,56,,censored,56,47 : Retail,1,0
21,1,0,"69-75 : Professional, scientific & technical",20000230,20000230_Loan_1,2021/4/10,31200,Repaid,Monthly,2022/4/10,0,,0,,2022/4/10,0,0,0,20000230_Loan_1,repaid,0,2022/4/10,2021/9/25,0,23,552,1,4,0.073754191,14278,4,0,0,0,0,366,,censored,366,"69-75 : Professional, scientific & technical",0,1
22,0,1,86-88 : Health,20000282,20000282_Overdraft_1,2020/11/16,128150,Repaid,Weekly,2021/11/16,0,,0,,2021/11/16,1,0,0,20000282_Overdraft_1,repaid,0,2021/11/16,2021/3/17,1,97,787,1,10,0.152267139,93205,6,0,0,0,0,366,,censored,366,86-88 : Health,1,0
23,0,1,41-43 : Construction,20000295,20000295_Overdraft_1,2020/9/26,72900,Available,Monthly,2023/9/26,63112,13,0,,,1,0,0,20000295_Overdraft_1,available,0,2023/9/26,2021/10/25,0,85,791,0,4,0.268710939,92827,5,0,0,0,0,1096,,censored,1096,41-43 : Construction,1,0
24,0,1,55-56 : Accommodation & food services,20000300,20000300_Overdraft_1,2021/5/19,172800,Defaulted,Monthly,2023/5/19,0,,0,2021/6/20,,,0,0,20000300_Overdraft_1,defaulted,1,2023/5/19,2021/5/8,0,0,436,1,88,0.279195647,328001,4,0,1,0,1,731,2021/6/20,hard_default,33,55-56 : Accommodation & food services,1,0
25,0,1,"69-75 : Professional, scientific & technical",20000311,20000311_Overdraft_1,2021/10/5,22150,Repaid,Monthly,2022/10/5,0,,0,,2022/10/5,1,1,0,20000311_Overdraft_1,repaid,0,2022/10/5,2021/3/25,0,33,531,0,8,0.387536843,56275,0,0,0,0,0,366,,censored,366,"69-75 : Professional, scientific & technical",1,0
26,0,1,86-88 : Health,20000313,20000313_Overdraft_1,2020/8/14,151600,Repaid,Weekly,2021/8/14,0,,0,,2020/10/24,1,0,0,20000313_Overdraft_1,repaid,0,2020/10/24,2021/12/5,0,85,805,0,15,0,0,1,0,0,0,0,72,,censored,72,86-88 : Health,1,0
27,1,0,"69-75 : Professional, scientific & technical",20000314,20000314_Loan_1,2021/9/11,34700,Repaid,Monthly,2022/9/11,0,,0,,2021/9/15,1,0,0,20000314_Loan_1,repaid,0,2021/9/15,2021/10/12,9,51,591,12,69,0.246299193,44241,2,0,0,0,0,5,,censored,5,"69-75 : Professional, scientific & technical",0,1
28,0,1,64-66 : Finance & insurance,20000315,20000315_Overdraft_1,2021/4/13,0,Repaid,Monthly,2022/4/13,0,,2,,2021/6/26,1,0,23,20000315_Overdraft_1,repaid,0,2021/6/26,2021/1/2,10,0,534,12,53,0.1015,3045,2,1,1,1,1,75,2021/5/27,distress_behavior,45,64-66 : Finance & insurance,1,0
29,0,1,58-63 : Information & communication,20000324,20000324_Overdraft_1,2021/10/8,78250,Repaid,Monthly,2022/10/8,0,,0,,2021/11/1,1,0,0,20000324_Overdraft_1,repaid,0,2021/11/1,2021/5/14,0,58,625,0,17,0.344581418,328659,0,0,0,0,0,25,,censored,25,58-63 : Information & communication,1,0
30,0,1,85 : Education,20000327,20000327_Overdraft_1,2020/10/18,108000,Repaid,Monthly,2021/10/18,0,,0,,2020/11/19,1,0,0,20000327_Overdraft_1,repaid,0,2020/11/19,2021/9/14,0,63,693,0,11,0.171925857,152338,2,0,0,0,0,33,,censored,33,85 : Education,1,0
31,1,0,41-43 : Construction,20000334,20000334_Loan_1,2020/8/6,99450,Repaid,Monthly,2021/8/6,0,,0,,2020/8/9,1,1,0,20000334_Loan_1,repaid,0,2020/8/9,2021/4/26,4,3,377,7,64,0.178389278,460574,6,0,0,0,0,4,,censored,4,41-43 : Construction,0,1
32,0,1,86-88 : Health,20000336,20000336_Overdraft_1,2020/8/22,13500,Repaid,Monthly,2021/8/22,0,,0,,2021/2/10,1,0,0,20000336_Overdraft_1,repaid,0,2021/2/10,2021/1/16,0,68,0,3,20,0.081024131,9190,4,0,0,0,0,173,,censored,173,86-88 : Health,1,0
33,0,1,58-63 : Information & communication,20000346,20000346_Overdraft_1,2020/11/29,292950,Repaid,Monthly,2021/11/29,0,,0,,2021/2/6,1,1,0,20000346_Overdraft_1,repaid,0,2021/2/6,2021/6/11,0,54,752,0,16,0,0,4,0,0,0,0,70,,censored,70,58-63 : Information & communication,1,0
34,0,1,"69-75 : Professional, scientific & technical",20000359,20000359_Overdraft_1,2021/11/24,20300,Repaid,Monthly,2022/11/24,0,,0,,2022/11/24,1,0,0,20000359_Overdraft_1,repaid,0,2022/11/24,2021/11/15,0,63,791,0,10,0,0,0,0,0,0,0,366,,censored,366,"69-75 : Professional, scientific & technical",1,0
35,0,1,46 : Wholesale,20000382,20000382_Overdraft_1,2021/10/17,510850,Repaid,Monthly,2022/10/17,0,,0,,2021/10/29,1,0,0,20000382_Overdraft_1,repaid,0,2021/10/29,2021/3/12,0,26,550,0,9,0.257158864,981355,0,0,0,0,0,13,,censored,13,46 : Wholesale,1,0
36,0,1,46 : Wholesale,20000385,20000385_Overdraft_1,2021/6/11,150200,Repaid,Monthly,2022/6/11,0,,1,,2021/8/30,1,0,4,20000385_Overdraft_1,repaid,0,2021/8/30,2021/11/11,1,76,762,3,8,0.049359657,74921,5,0,0,0,0,81,,censored,81,46 : Wholesale,1,0
37,0,1,"69-75 : Professional, scientific & technical",20000402,20000402_Overdraft_1,2021/7/14,28350,Repaid,Monthly,2022/7/14,0,,0,,2021/9/24,1,0,0,20000402_Overdraft_1,repaid,0,2021/9/24,2021/5/17,0,65,663,1,11,0.225076945,40806,5,0,0,0,0,73,,censored,73,"69-75 : Professional, scientific & technical",1,0
38,0,1,49-53 : Transport & Storage (inc. postal),20000408,20000408_Overdraft_1,2020/1/26,32500,Repaid,Monthly,2021/1/26,0,,0,,2020/5/11,1,0,0,20000408_Overdraft_1,repaid,0,2020/5/11,2021/9/17,3,94,0,3,0,0.256773465,57735,1,0,0,0,0,107,,censored,107,49-53 : Transport & Storage (inc. postal),1,0
39,1,0,46 : Wholesale,20000417,20000417_Loan_1,2021/9/16,277650,Repaid,Monthly,2022/9/16,0,,1,,2021/10/13,1,0,14,20000417_Loan_1,repaid,0,2021/10/13,2021/2/16,1,50,739,4,0,0.146245653,226950,1,0,0,0,0,28,,censored,28,46 : Wholesale,0,1
40,0,1,77-82 : Business administration & support services,20000423,20000423_Overdraft_1,2020/4/7,45700,Repaid,Monthly,2021/4/7,0,,0,,2020/8/23,1,1,0,20000423_Overdraft_1,repaid,0,2020/8/23,2021/12/3,1,86,814,3,18,0.003396869,1029,3,0,0,0,0,139,,censored,139,77-82 : Business administration & support services,1,0
41,0,1,"69-75 : Professional, scientific & technical",20000425,20000425_Overdraft_1,2020/8/6,31050,Repaid,Monthly,2021/8/6,0,,0,,2021/5/11,1,0,0,20000425_Overdraft_1,repaid,0,2021/5/11,2021/6/19,0,63,762,2,20,0.038081118,7423,3,0,0,0,0,279,,censored,279,"69-75 : Professional, scientific & technical",1,0
42,0,1,"90-99 : Arts, entertainment, recreation & other",20000435,20000435_Overdraft_1,2021/2/17,35700,Repaid,Monthly,2022/2/17,0,,0,,2021/8/2,1,0,0,20000435_Overdraft_1,repaid,0,2021/8/2,2021/9/7,7,13,436,8,64,0.220491359,39462,1,0,0,0,0,167,,censored,167,"90-99 : Arts, entertainment, recreation & other",1,0
43,1,0,"90-99 : Arts, entertainment, recreation & other",20000439,20000439_Loan_1,2020/12/29,15550,Repaid,Monthly,2021/12/29,0,,0,,2021/3/25,1,0,0,20000439_Loan_1,repaid,0,2021/3/25,2021/7/25,0,59,685,1,27,0.076699117,13488,1,0,0,0,0,87,,censored,87,"90-99 : Arts, entertainment, recreation & other",0,1
44,1,0,77-82 : Business administration & support services,20000468,20000468_Loan_1,2020/7/18,30950,Disbursing,Monthly,2024/7/18,27472,8,0,,,1,1,0,20000468_Loan_1,disbursing,0,2024/2/29,2021/2/18,0,41,0,1,13,0.201947063,34082,0,0,0,0,0,1322,,censored,1322,77-82 : Business administration & support services,0,1
45,0,1,47 : Retail,20000472,20000472_Overdraft_1,2020/12/14,43400,Repaid,Monthly,2021/12/14,0,,0,,2021/1/5,1,0,0,20000472_Overdraft_1,repaid,0,2021/1/5,2020/12/17,0,86,811,1,11,0.083674801,23218,0,0,0,0,0,23,,censored,23,47 : Retail,1,0
46,0,1,47 : Retail,20000478,20000478_Overdraft_1,2020/10/30,23800,Defaulted,Monthly,2024/10/30,0,,0,2021/2/20,,,1,0,20000478_Overdraft_1,defaulted,1,2024/2/29,2021/1/10,4,0,349,6,44,0.062240494,12142,1,0,0,0,1,1218,2021/2/20,hard_default,114,47 : Retail,1,0
47,0,1,55-56 : Accommodation & food services,20000482,20000482_Overdraft_1,2021/9/30,18900,Available,Monthly,2024/9/30,23578,10,0,,,1,0,0,20000482_Overdraft_1,available,0,2024/2/29,2021/9/2,1,29,830,2,8,0.28457047,42401,6,0,0,0,0,883,,censored,883,55-56 : Accommodation & food services,1,0
48,1,0,41-43 : Construction,20000494,20000494_Loan_1,2021/6/23,484700,Repaid,Monthly,2022/6/23,0,,0,,2021/8/19,1,0,0,20000494_Loan_1,repaid,0,2021/8/19,2021/8/10,0,90,0,1,11,0.196100976,654920,6,0,0,0,0,58,,censored,58,41-43 : Construction,0,1
49,1,0,"01-03 : Agriculture, forestry & fishing",20000520,20000520_Loan_1,2021/11/13,103950,Disbursing,Monthly,2023/11/13,112798,6,0,,,1,0,0,20000520_Loan_1,disbursing,0,2023/11/13,2021/2/19,5,6,799,5,83,0.099743915,112798,2,0,1,1,1,731,2021/12/12,distress_origination,30,"01-03 : Agriculture, forestry & fishing",0,1
50,0,1,58-63 : Information & communication,20000543,20000543_Overdraft_1,2021/1/21,18950,Defaulted,Monthly,2023/1/21,0,,1,2021/3/11,,,0,13,20000543_Overdraft_1,defaulted,1,2023/1/21,2021/4/17,1,64,730,2,47,0.183965794,24826,6,0,0,0,1,731,2021/3/11,hard_default,50,58-63 : Information & communication,1,0
51,1,0,"69-75 : Professional, scientific & technical",20000548,20000548_Loan_1,2020/12/23,16700,Defaulted,Monthly,2024/12/23,0,,0,2021/2/7,,,0,0,20000548_Loan_1,defaulted,1,2024/2/29,2021/11/23,1,3,538,3,90,0,0,3,0,0,0,1,1164,2021/2/7,hard_default,47,"69-75 : Professional, scientific & technical",0,1
52,0,1,77-82 : Business administration & support services,20000559,20000559_Overdraft_1,2021/2/21,34850,Defaulted,Monthly,2025/2/21,0,,0,2021/6/16,,,0,0,20000559_Overdraft_1,defaulted,1,2024/2/29,2021/10/11,0,0,520,0,67,0.058406297,17177,5,0,0,0,1,1104,2021/6/16,hard_default,116,77-82 : Business administration & support services,1,0
53,0,1,58-63 : Information & communication,20000571,20000571_Overdraft_1,2020/6/26,33700,Repaid,Monthly,2021/6/26,0,,0,,2021/2/2,1,0,0,20000571_Overdraft_1,repaid,0,2021/2/2,2021/8/18,0,76,0,1,19,0.036728243,7925,0,0,0,0,0,222,,censored,222,58-63 : Information & communication,1,0
54,0,1,45 : Motor trades,20000594,20000594_Overdraft_1,2021/5/25,36600,Repaid,Monthly,2022/5/25,0,,2,,2022/5/25,0,0,19,20000594_Overdraft_1,repaid,0,2022/5/25,2021/11/30,2,74,742,4,27,0.256580065,86127,4,1,0,1,1,366,2021/12/30,distress_behavior,220,45 : Motor trades,1,0
55,0,1,58-63 : Information & communication,20000618,20000618_Overdraft_1,2021/8/20,111300,Repaid,Monthly,2022/8/20,0,,1,,2022/8/20,1,0,6,20000618_Overdraft_1,repaid,0,2022/8/20,2021/4/25,1,91,842,2,16,0.083174675,74835,0,0,1,1,1,366,2021/9/18,distress_origination,30,58-63 : Information & communication,1,0
56,0,1,41-43 : Construction,20000641,20000641_Overdraft_1,2020/4/30,89900,Repaid,Monthly,2021/4/30,0,,0,,2020/9/8,1,0,0,20000641_Overdraft_1,repaid,0,2020/9/8,2021/8/17,0,73,742,1,9,0.190714563,76159,4,0,0,0,0,132,,censored,132,41-43 : Construction,1,0
57,0,1,58-63 : Information & communication,20000657,20000657_Overdraft_1,2020/6/29,42450,Available,Monthly,2022/6/29,13264,6,0,,,1,1,0,20000657_Overdraft_1,available,0,2022/6/29,2021/3/9,0,55,822,0,0,0.188942786,34589,0,0,0,0,0,731,,censored,731,58-63 : Information & communication,1,0
58,1,0,"90-99 : Arts, entertainment, recreation & other",20000660,20000660_Loan_1,2020/10/5,11800,Repaid,Monthly,2021/10/5,0,,3,,2021/2/22,1,0,38,20000660_Loan_1,repaid,0,2021/2/22,2021/5/13,3,20,502,3,11,0.121294929,11585,3,1,0,1,1,141,2020/12/28,distress_behavior,85,"90-99 : Arts, entertainment, recreation & other",0,1
59,1,0,47 : Retail,20000661,20000661_Loan_1,2021/1/27,329550,Repaid,Monthly,2022/1/27,0,,0,,2021/6/1,1,0,0,20000661_Loan_1,repaid,0,2021/6/1,2021/8/14,0,82,777,4,31,0.121405574,168513,4,0,0,0,0,126,,censored,126,47 : Retail,0,1
60,0,1,"01-03 : Agriculture, forestry & fishing",20000663,20000663_Overdraft_1,2020/3/8,42050,Repaid,Fortnightly,2021/3/8,0,,0,,2020/11/25,1,0,0,20000663_Overdraft_1,repaid,0,2020/11/25,2021/11/23,0,48,697,1,23,0.115027105,25059,3,0,0,0,0,263,,censored,263,"01-03 : Agriculture, forestry & fishing",1,0
61,1,0,58-63 : Information & communication,20000675,20000675_Loan_1,2021/9/12,40650,Defaulted,Monthly,2023/9/12,0,,0,2021/10/2,,,0,0,20000675_Loan_1,defaulted,1,2023/9/12,2021/9/11,0,36,613,0,67,0.077757457,14796,4,0,0,0,1,731,2021/10/2,hard_default,21,58-63 : Information & communication,0,1
62,0,1,"69-75 : Professional, scientific & technical",20000684,20000684_Overdraft_1,2021/10/19,33150,Available,Monthly,2024/10/19,40981,9,0,,,1,0,0,20000684_Overdraft_1,available,0,2024/2/29,2021/9/15,5,6,795,9,42,0.295674774,56541,2,0,1,1,1,864,2021/11/17,distress_origination,30,"69-75 : Professional, scientific & technical",1,0
63,0,1,"69-75 : Professional, scientific & technical",20000702,20000702_Overdraft_1,2021/3/15,37700,Defaulted,Monthly,2023/3/15,0,,0,2021/5/8,,,0,0,20000702_Overdraft_1,defaulted,1,2023/3/15,2021/1/17,0,55,665,0,50,0.089900806,16649,3,0,0,0,1,731,2021/5/8,hard_default,55,"69-75 : Professional, scientific & technical",1,0
64,1,0,46 : Wholesale,20000709,20000709_Loan_1,2020/1/4,98300,Repaid,Monthly,2021/1/4,0,,0,,2020/1/29,1,0,0,20000709_Loan_1,repaid,0,2020/1/29,2021/9/7,0,58,771,2,25,0,0,3,0,0,0,0,26,,censored,26,46 : Wholesale,0,1
65,1,0,"69-75 : Professional, scientific & technical",20000720,20000720_Loan_1,2020/5/16,15600,Defaulted,Monthly,2024/5/16,0,,0,2020/9/20,,,0,0,20000720_Loan_1,defaulted,1,2024/2/29,2021/9/2,2,0,469,3,59,0.036241694,5809,1,0,0,0,1,1385,2020/9/20,hard_default,128,"69-75 : Professional, scientific & technical",0,1
66,0,1,41-43 : Construction,20000728,20000728_Overdraft_1,2021/1/25,66400,Available,Weekly,2024/1/25,59430,8,0,,,1,0,0,20000728_Overdraft_1,available,0,2024/1/25,2021/10/21,0,80,790,2,0,0.329624313,113429,2,0,0,0,0,1096,,censored,1096,41-43 : Construction,1,0
67,0,1,55-56 : Accommodation & food services,20000747,20000747_Overdraft_1,2021/11/22,201450,Available,Monthly,2023/11/22,209034,3,0,,,1,0,0,20000747_Overdraft_1,available,0,2023/11/22,2021/8/14,0,93,808,1,0,0.212922606,209034,4,0,1,1,1,731,2021/12/21,distress_origination,30,55-56 : Accommodation & food services,1,0
68,0,1,41-43 : Construction,20000756,20000756_Overdraft_1,2021/11/21,36400,Repaid,Monthly,2022/11/21,0,,0,,2022/11/21,1,1,0,20000756_Overdraft_1,repaid,0,2022/11/21,2021/8/21,2,0,524,6,21,0.081788738,27248,1,0,1,1,1,366,2021/12/20,distress_origination,30,41-43 : Construction,1,0
69,0,1,"01-03 : Agriculture, forestry & fishing",20000779,20000779_Overdraft_1,2020/6/28,13850,Repaid,Monthly,2021/6/28,0,,3,,2021/6/28,1,0,31,20000779_Overdraft_1,repaid,0,2021/6/28,2021/7/10,3,60,664,4,15,0.283309225,39563,2,1,0,1,1,366,2021/2/2,distress_behavior,220,"01-03 : Agriculture, forestry & fishing",1,0
70,0,1,"90-99 : Arts, entertainment, recreation & other",20000793,20000793_Overdraft_1,2020/9/18,23300,Available,Monthly,2023/9/18,19926,13,0,,,1,0,0,20000793_Overdraft_1,available,0,2023/9/18,2021/4/9,3,39,796,5,0,0.31081778,54841,3,0,0,0,0,1096,,censored,1096,"90-99 : Arts, entertainment, recreation & other",1,0
71,0,1,55-56 : Accommodation & food services,20000821,20000821_Overdraft_1,2020/9/6,44200,Available,Monthly,2022/9/6,17813,4,0,,,1,1,0,20000821_Overdraft_1,available,0,2022/9/6,2021/9/17,0,17,0,6,11,0.216402615,35582,5,0,0,0,0,731,,censored,731,55-56 : Accommodation & food services,1,0
72,0,1,85 : Education,20000834,20000834_Overdraft_1,2020/2/26,9750,Repaid,Monthly,2021/2/26,0,,0,,2020/5/10,1,0,0,20000834_Overdraft_1,repaid,0,2020/5/10,2021/2/11,0,87,849,1,17,0.075331162,5158,7,0,0,0,0,75,,censored,75,85 : Education,1,0
73,1,0,"90-99 : Arts, entertainment, recreation & other",20000837,20000837_Loan_1,2020/7/13,31000,Defaulted,Monthly,2023/7/13,0,,0,2020/9/1,,,1,0,20000837_Loan_1,defaulted,1,2023/7/13,2021/5/17,3,0,548,3,55,0.097893488,15187,4,0,0,0,1,1096,2020/9/1,hard_default,51,"90-99 : Arts, entertainment, recreation & other",0,1
74,0,1,"90-99 : Arts, entertainment, recreation & other",20000839,20000839_Overdraft_1,2020/1/7,10100,Repaid,Monthly,2021/1/7,0,,0,,2020/1/26,1,0,0,20000839_Overdraft_1,repaid,0,2020/1/26,2021/1/5,6,3,566,7,66,0.240010661,20711,2,0,0,0,0,20,,censored,20,"90-99 : Arts, entertainment, recreation & other",1,0
75,0,1,"01-03 : Agriculture, forestry & fishing",20000863,20000863_Overdraft_1,2020/5/2,21600,Available,Monthly,2023/5/2,12673,8,0,,,1,0,0,20000863_Overdraft_1,available,0,2023/5/2,2021/6/11,0,67,809,2,16,0.074942047,12673,7,0,0,0,0,1096,,censored,1096,"01-03 : Agriculture, forestry & fishing",1,0
76,0,1,"90-99 : Arts, entertainment, recreation & other",20000864,20000864_Overdraft_1,2021/5/20,20800,Repaid,Monthly,2022/5/20,0,,0,,2021/8/19,1,1,0,20000864_Overdraft_1,repaid,0,2021/8/19,2021/10/29,0,85,735,0,14,0.120804982,12552,0,0,0,0,0,92,,censored,92,"90-99 : Arts, entertainment, recreation & other",1,0
77,0,1,47 : Retail,20000872,20000872_Overdraft_1,2021/11/29,69200,Available,Monthly,2024/11/29,101717,14,0,,,1,0,0,20000872_Overdraft_1,available,0,2024/2/29,2020/12/28,7,0,736,9,37,0.50204218,133735,0,0,1,1,1,823,2021/12/28,distress_origination,30,47 : Retail,1,0
