company_reg_number,primary_sector,women_owned,number_of_officers,2019_revenue,capex,cogs,costs,accounts_receivable,capital_and_reserves,current_assets,current_liabilities,fixed_assets,long_term_liabilities,provisions_for_liabilities,credit_report_date,missed_and_late_payments_last_five_years,business_failure_score,credit_report_credit_score,credit_report_negative_items,payment_index,ratio_debt_to_revenue,credit_report_total_indebtedness,credit_report_good_standing_items,factor_amount,factor_percent,ca_total_accounts,ca_avg_rev_ratio,ca_avg_cost_ratio,ca_total_payin,ca_total_payout,industry_group,liquidity_ratio,leverage_ratio,profit_margin_proxy,receivable_turnover_proxy,log_factor_amount,log_ca_total_payin,log_ca_total_payout,aux_risk_label
20000011,47 : Retail,1,1,219158.0,148.04,4626.14,212180.4202,5403.0,4261.0,37507.0,30824.0,1841.0,4263.0,6781.0,2021-09-27,0.0,95.0,760.0,0.0,9.0,0.2122213197784247,46510.0,3.0,0.0,0.0,1,0.5080882892099606,0.4919117107900392,154287.232,149375.01583473186,47 : Retail,1.216772100567721,8.23251994368841,0.031837979731610414,40.55477424130274,0.0,11.946577768430462,11.91422200221203,1
20000012,"69-75 : Professional, scientific & technical",0,2,212172.0,146.91,4398.46,203286.2274,9880.0,9774.0,53867.0,49861.0,15545.0,9776.0,11468.0,2021-06-19,8.0,48.0,689.0,10.0,62.0,0.052085100767302,11051.0,2.0,0.0,0.0,1,0.5106939422943496,0.4893060577056505,180982.716,173403.15195628503,"69-75 : Professional, scientific & technical",1.0803216878584894,6.100971867007672,0.04187984616327241,21.472725432648517,0.0,12.106162339349874,12.06338028742649,1
20000013,77-82 : Business administration & support services,0,2,290362.0,239.38,5261.07,278135.487,13527.0,41613.0,88788.0,55855.0,26803.0,18123.0,12288.0,2020-12-16,1.0,24.0,513.0,7.0,7.0,0.3610458668834076,104834.0,5.0,0.0,0.0,1,0.5107533571623294,0.4892466428376706,150988.24,144630.45321597508,77-82 : Business administration & support services,1.5895875107419077,1.7777190368625944,0.04210768245265401,21.46377882909521,0.0,11.924963854979923,11.881944083835698,1
20000014,"69-75 : Professional, scientific & technical",1,1,123937.0,90.47,3401.2,114499.7098,5775.0,13593.0,27004.0,21667.0,8766.0,510.0,3683.0,2021-09-20,0.0,82.0,833.0,0.0,13.0,0.0466930779347571,5787.0,1.0,0.0,0.0,1,0.5197899269897411,0.4802100730102587,79939.36499999999,73852.31284753497,"69-75 : Professional, scientific & technical",1.2462617685065533,1.631381491834633,0.07614525165808714,21.457236842105264,0.0,11.289036198179334,11.209836146094007,0
20000015,46 : Wholesale,0,1,1440078.0,78.18,6625.67,1433500.348,51289.0,99913.0,261985.0,170875.0,23482.0,14678.0,22213.0,2021-03-11,6.0,0.0,541.0,9.0,77.0,0.0032206588809772,4638.0,1.0,7180.0,14.0,4,0.5011445055028865,0.4988554944971134,1068537.8760000002,1063657.2578721112,46 : Wholesale,1.5331878087033872,1.8571271293312248,0.0045675633072907815,28.077169038798985,8.879193928110318,13.881802736794958,13.877224711081967,1
20000016,"69-75 : Professional, scientific & technical",0,1,157376.0,157.24,4531.33,148663.5817,7326.0,25057.0,50042.0,40635.0,15899.0,248.0,8127.0,2021-07-26,0.0,73.0,467.0,0.0,0.0,0.510498424156161,80340.2,0.0,6593.0,90.0,1,0.5142341364474556,0.4857658635525443,127474.56,120417.50115456966,"69-75 : Professional, scientific & technical",1.2314696328378778,1.6315348391731184,0.05536017524797137,21.478913607206223,8.793915423631676,11.755679938931946,11.698728464126242,1
20000017,77-82 : Business administration & support services,0,2,232234.0,224.21,4121.53,224198.2707,10820.0,33572.0,73069.0,49628.0,20188.0,10056.0,10918.0,2021-06-17,7.0,52.0,755.0,8.0,33.0,0.0,0.0,4.0,0.0,0.0,1,0.5088027619733024,0.4911972380266975,119600.51,115462.1094247656,77-82 : Business administration & support services,1.47230449938544,1.7777380633246955,0.03460171507309409,21.4614176138989,0.0,11.69192074583703,11.656706359005508,1
20000018,58-63 : Information & communication,0,1,211069.0,230.86,4692.28,201449.7288,6940.0,45784.0,134483.0,103709.0,18130.0,3120.0,10370.0,2021-04-29,0.0,34.0,678.0,2.0,30.0,0.0711994655776073,15028.0,2.0,0.0,0.0,1,0.5116591932471196,0.4883408067528803,98358.154,93875.57364162429,58-63 : Information & communication,1.2967216276154663,2.333275090095009,0.045573843748519395,30.409018873361187,0.0,11.496380895235799,11.449736152085714,0
20000019,41-43 : Construction,0,1,359232.0,0.02,214302.22,441496.128,14764.0,28864.0,60863.0,31539.0,7862.0,8321.0,7884.0,2021-02-09,0.0,76.0,744.0,1.0,10.0,0.1389575538927489,49918.0,1.0,0.0,0.0,1,0.4486316733961417,0.5513683266038583,235656.192,289621.459968,41-43 : Construction,1.929708306911858,1.3809111380564698,-0.22899936253072525,24.329969522519473,0.0,12.3701334517249,12.576333491624576,0
20000020,05-39 : Production,1,1,217475.0,115.23,3669.69,212263.8584,6555.0,52702.0,62583.0,71191.0,102110.0,40800.0,8542.0,2021-05-26,0.0,43.0,650.0,2.0,11.0,0.1283549833314174,27914.0,3.0,0.0,0.0,1,0.5060631491392704,0.4939368508607296,131789.85,128631.89820307052,05-39 : Production,0.8790734914035285,2.124945449025672,0.023961915797605267,33.17190359975595,0.0,11.78897147527189,11.764717876134107,0
20000021,"69-75 : Professional, scientific & technical",1,1,210269.0,110.92,3521.36,201489.7356,9792.0,27176.0,54367.0,41877.0,17149.0,2463.0,5444.0,2021-06-08,0.0,72.0,0.0,3.0,6.0,0.0,0.0,5.0,0.0,0.0,1,0.5106606899495334,0.4893393100504666,186929.14100000003,179124.37492360375,"69-75 : Professional, scientific & technical",1.2982234108601174,1.6315266585715862,0.041752339373186786,21.471357091800265,0.0,12.138490248499144,12.095841258211903,1
20000022,"69-75 : Professional, scientific & technical",1,1,193232.0,123.54,4245.43,184618.8373,9003.0,26763.0,54099.0,41873.0,16331.0,1793.0,10468.0,2021-10-14,0.0,0.0,494.0,3.0,15.0,0.0,0.0,2.0,0.0,0.0,1,0.5113975700196788,0.4886024299803213,92751.36,88617.04188042134,"69-75 : Professional, scientific & technical",1.2919472703825763,1.631519952174563,0.0445739739071483,21.460684140382053,0.0,11.437688424889904,11.39209074882466,0
20000023,05-39 : Production,1,1,417059.0,0.02,364587.72,789492.687,12570.0,96128.0,103350.0,120075.0,197052.0,84198.0,20412.0,,,,,,,,,,11313.0,90.0,2,0.3456619426201175,0.6543380573798825,316130.72200000007,598435.456746,05-39 : Production,0.8607048869049602,2.1249882969759386,-0.8929978588212728,33.17627873677512,9.333796175903101,12.663914247486804,13.302075627493181,0
20000024,"69-75 : Professional, scientific & technical",1,4,164498.0,69.07,2606.47,159520.0267,7661.0,33350.0,65212.0,51793.0,22552.0,2620.0,8287.0,,,,,,,,,,0.0,0.0,1,0.507681630207289,0.492318369792711,101824.262,98742.89651315055,"69-75 : Professional, scientific & technical",1.259064756535506,1.6315252915954543,0.03026141982626042,21.4693291568781,0.0,11.531013505555286,11.500284873391442,0
20000025,85 : Education,1,1,127747.0,474.48,2472.55,121179.8083,5950.0,16526.0,44157.0,23900.0,10931.0,14662.0,4063.0,2021-10-05,2.0,59.0,0.0,2.0,24.0,0.0194681675499228,2487.0,3.0,0.0,0.0,1,0.5131910093253621,0.4868089906746379,101431.118,96216.76779079116,85 : Education,1.8474959206727752,2.333272826284262,0.05140739346212853,21.466476222483617,0.0,11.527145065548066,11.474369315969493,1
20000026,05-39 : Production,0,1,232217.0,206.37,6291.68,224542.3489,6997.0,25568.0,22535.0,22166.0,57367.0,32167.0,4654.0,2021-01-01,1.0,57.0,643.0,3.0,26.0,0.2140670149041629,49710.0,2.0,0.0,0.0,1,0.5084011975859557,0.4915988024140442,125629.397,121477.41076624204,05-39 : Production,1.0166012541164795,2.124956001407955,0.03304933769130725,33.18333809659903,0.0,11.7410995180667,11.707491836807417,0
20000027,41-43 : Construction,1,1,1107992.0,221.95,8312.9,1093813.426,45534.0,103518.0,226065.0,133871.0,20408.0,9083.0,13387.0,2021-03-22,0.0,66.0,717.0,0.0,11.0,0.1353791363114535,149999.0,5.0,0.0,0.0,3,0.5032197609382826,0.4967802390617173,756758.5359999998,747074.5698163921,41-43 : Construction,1.6886652922194334,1.3809445609018633,0.012796627776529294,24.332755023608215,0.0,13.536800828059938,13.523921623411022,0
20000028,58-63 : Information & communication,1,2,164299.0,214.0,3912.32,157317.6942,5401.0,30509.0,92278.0,68513.0,9419.0,2675.0,7536.0,2021-05-15,0.0,61.0,720.0,1.0,4.0,0.139039190743705,22844.0,3.0,0.0,0.0,1,0.5108534568880847,0.4891465431119153,135218.077,129472.46228634357,58-63 : Information & communication,1.3468488192194297,2.3332677810553917,0.04249120998174073,30.414476119955573,0.0,11.814651534708046,11.77123121469207,0
20000029,77-82 : Business administration & support services,0,1,355048.0,0.02,222673.68,642636.88,16536.0,52818.0,117666.0,85835.0,29049.0,8063.0,11158.0,2021-02-06,0.0,25.0,542.0,2.0,18.0,0.1803136477321376,64020.0,2.0,0.0,0.0,1,0.3558718861209964,0.6441281138790036,273386.96,494830.3976,77-82 : Business administration & support services,1.3708234307283658,1.7777314981351409,-0.8099977186247532,21.46991594606035,0.0,12.51864716426278,13.111972372620665,0
20000030,58-63 : Information & communication,0,2,204704.0,192.38,3447.74,197348.042,6729.0,31896.0,92942.0,53050.0,13379.0,21374.0,5305.0,2021-04-07,1.0,70.0,733.0,4.0,19.0,0.0,0.0,6.0,0.0,0.0,1,0.5091480171523468,0.4908519828476532,122208.288,117816.78110172832,58-63 : Information & communication,1.751936815517144,2.333260181208264,0.035934432476002115,30.416641901931648,0.0,11.713490329377926,11.676894481947464,0
20000031,49-53 : Transport & Storage (inc. postal),0,1,190664.0,433.86,5976.02,181669.3821,4701.0,31724.0,98261.0,67591.0,11131.0,10077.0,9462.0,2021-06-26,4.0,50.0,691.0,7.0,43.0,0.1307168631729115,24923.0,2.0,0.0,0.0,1,0.5120787153289861,0.487921284671014,105627.856,100644.83770518392,49-53 : Transport & Storage (inc. postal),1.4537371286542786,2.4481639085894407,0.04717498177431627,40.54955338153977,0.0,11.567686870502005,11.519363076066622,1
20000032,"90-99 : Arts, entertainment, recreation & other",0,1,181608.0,208.79,6213.92,171722.6647,8455.0,905.0,49404.0,60610.0,13018.0,907.0,7273.0,2021-02-22,0.0,76.0,769.0,4.0,8.0,0.151689352891943,27548.0,4.0,0.0,0.0,1,0.5139887876388302,0.4860112123611697,82086.816,77618.64445778879,"90-99 : Arts, entertainment, recreation & other",0.8150995693850951,67.89955849889624,0.05443196812933283,21.47682119205298,0.0,11.315544880042603,11.259575824363434,0
20000033,"69-75 : Professional, scientific & technical",0,1,165483.0,83.26,2677.16,159964.2162,7707.0,23681.0,49542.0,34814.0,12778.0,3824.0,6614.0,2021-09-25,0.0,38.0,638.0,3.0,7.0,0.1089840043992434,18035.0,2.0,0.0,0.0,1,0.5084787693459002,0.4915212306540997,136027.02599999998,131490.58574804448,"69-75 : Professional, scientific & technical",1.4230073244291255,1.6315344987754412,0.03334934978608207,21.468993253762324,0.0,11.820616217017367,11.786698141845834,0
20000034,46 : Wholesale,0,1,1368691.0,94.87,8249.4,1358590.109,48748.0,64672.0,169978.0,89427.0,14800.0,30679.0,21462.0,2020-12-11,8.0,48.0,0.0,11.0,46.0,0.2442786574909895,334342.0,1.0,0.0,0.0,3,0.5018518243441179,0.49814817565588204,867750.0939999999,861346.1290416978,46 : Wholesale,1.9007246052690432,1.8571273947396905,0.00737995911424927,28.0762887443845,0.0,13.673660194455016,13.666252871777532,1
20000035,41-43 : Construction,0,1,350733.0,154.6,5747.25,341372.6528,14413.0,36792.0,79805.0,37329.0,7796.0,13480.0,3732.0,2021-05-29,9.0,15.0,463.0,10.0,28.0,0.1173257150025803,41150.0,6.0,0.0,0.0,1,0.5067622242343963,0.4932377757656037,216051.528,210285.55410276575,41-43 : Construction,2.137824805786231,1.3809420270160084,0.02668788084417256,24.332801443041486,0.0,12.283276842286764,12.256226422902888,1
20000036,"90-99 : Arts, entertainment, recreation & other",1,1,126548.0,153.68,4628.84,117319.8422,5893.0,1489.0,41740.0,49209.0,10448.0,1490.0,12302.0,2021-01-22,9.0,24.0,654.0,9.0,37.0,0.0888516610298068,11244.0,1.0,0.0,0.0,1,0.518920407190042,0.4810795928099581,83142.03600000001,77079.13635707645,"90-99 : Arts, entertainment, recreation & other",0.8482015850436903,34.026174496644295,0.07292161771329683,21.470648116728878,0.0,11.328317728858696,11.252600891559904,1
20000037,"01-03 : Agriculture, forestry & fishing",0,1,78021.0,597.83,4659.63,71301.02936,5558.0,89467.0,28374.0,19472.0,131389.0,50823.0,2531.0,2021-03-28,0.0,53.0,666.0,0.0,6.0,0.1201086886863793,9371.0,0.0,0.0,0.0,1,0.5225016049792546,0.4774983950207453,68502.438,62602.30377915648,"01-03 : Agriculture, forestry & fishing",1.457094438453243,0.785699915053427,0.0861291768988234,14.03507825148408,0.0,11.134639212771873,11.044573331720448,0
20000038,"69-75 : Professional, scientific & technical",0,1,191292.0,81.58,3385.25,184417.0029,8910.0,11626.0,57124.0,46706.0,12836.0,11628.0,9808.0,2021-02-10,6.0,0.0,534.0,7.0,64.0,0.0,0.0,4.0,0.0,0.0,1,0.5091493642859876,0.4908506357140124,94115.664,90733.16544317208,"69-75 : Professional, scientific & technical",1.223028668079731,5.01711533499613,0.035939616713627824,21.466950959488273,0.0,11.452290398099244,11.415689251428049,1
20000039,77-82 : Business administration & support services,1,1,371586.0,111.63,2022.27,366398.0305,17305.0,56106.0,123621.0,65763.0,32230.0,33982.0,6576.0,2021-11-07,0.0,83.0,0.0,2.0,1.0,0.3408443805740797,126653.0,3.0,0.0,0.0,1,0.503514960526476,0.4964850394735239,258995.442,255379.4272773576,77-82 : Business administration & support services,1.8797670458001339,1.777763915375978,0.013961655009459444,21.471512770137526,0.0,12.464569603135578,12.4505095840815,1
20000040,55-56 : Accommodation & food services,0,1,170439.0,328.26,4330.6,162326.2193,4670.0,25134.0,83920.0,63930.0,5845.0,700.0,14064.0,2021-03-09,0.0,57.0,681.0,0.0,19.0,0.1047647545456145,17856.0,3.0,0.0,0.0,1,0.5121899469631244,0.4878100530368755,81299.40299999999,77429.60658333964,55-56 : Accommodation & food services,1.3126652171872801,2.571314899542471,0.04759904189157477,36.488760436737316,0.0,11.305906252473186,11.257137415307719,0
20000041,"69-75 : Professional, scientific & technical",0,1,204811.0,98.53,4037.96,196976.38,9540.0,35315.0,69872.0,57397.0,23062.0,221.0,7461.0,2021-08-17,0.0,85.0,0.0,2.0,19.0,0.1198324308752947,24543.0,4.0,0.0,0.0,1,0.509749708925102,0.490250291074898,123705.84399999998,118973.733514337,"69-75 : Professional, scientific & technical",1.21732464545803,1.6314984709480123,0.038252739097318494,21.46640813331936,0.0,11.725669884255087,11.686666426140928,1
20000042,77-82 : Business administration & support services,0,1,241754.0,205.84,3465.25,234022.5139,11260.0,33948.0,71811.0,47068.0,22488.0,13284.0,11296.0,2021-07-21,0.0,71.0,744.0,1.0,14.0,0.1136609942338079,27478.0,1.0,0.0,0.0,1,0.5081251237889659,0.491874876211034,173337.618,167794.14243621574,77-82 : Business administration & support services,1.5256538273598335,1.7777254116468821,0.031980666790759275,21.468253263475713,0.0,12.063002289886276,12.030499124063542,0
20000043,41-43 : Construction,0,2,424792.0,159.72,5219.54,416337.9416,17459.0,39667.0,86361.0,39326.0,8084.0,15452.0,4719.0,2021-01-31,0.0,18.0,521.0,2.0,14.0,0.1601442588372662,68028.0,3.0,0.0,0.0,2,0.5050254175689836,0.4949745824310164,336010.472,329323.31182703463,41-43 : Construction,2.1959722328171485,1.3809115659977815,0.01990159536527198,24.329438717067582,0.0,12.72490058121963,12.704798294448944,0
20000044,47 : Retail,0,2,287374.0,193.08,6634.9,278017.2096,7086.0,7257.0,48775.0,36482.0,2223.0,7259.0,7296.0,2021-07-19,0.0,62.0,719.0,1.0,34.0,0.158298941449122,45491.0,2.0,0.0,0.0,1,0.5082746161232937,0.4917253838767063,162366.31,157079.72340296325,47 : Retail,1.3369240468163255,6.026591347478644,0.03255951422357546,40.54945675179907,0.0,11.99761639334409,11.964515113996871,0
20000045,55-56 : Accommodation & food services,0,1,122156.0,224.62,3892.82,114290.132,3346.0,4625.0,48044.0,43178.0,4387.0,4627.0,5613.0,,,,,,,,,,0.0,0.0,1,0.5166335306590943,0.4833664693409056,109085.308,102061.0879004647,55-56 : Accommodation & food services,1.1126705111280948,10.333981841763944,0.06439146344458363,36.49716163728712,0.0,11.599894664403731,11.533336611987238,0
20000046,"69-75 : Professional, scientific & technical",1,1,181023.0,82.37,2860.23,173077.9067,8430.0,13275.0,64188.0,54777.0,17140.0,13277.0,10407.0,2021-04-24,0.0,51.0,730.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,1,0.5112186853269992,0.4887813146730007,102459.01799999998,97962.095196327,"69-75 : Professional, scientific & technical",1.1717842929643287,5.126092196444712,0.04388972346208242,21.471118491282173,0.0,11.537227933171492,11.492346107099477,0
20000047,47 : Retail,0,1,915621.0,235.89,8335.49,904538.0435,22574.0,29642.0,176265.0,125122.0,8143.0,29643.0,26275.0,2021-07-25,0.0,74.0,728.0,0.0,4.0,0.2545267091951801,233050.0,4.0,0.0,0.0,2,0.503044502217886,0.4969554977821139,776446.608,767048.2608966967,47 : Retail,1.40873380593496,5.220962790540768,0.012104292491879805,40.55906976744186,0.0,13.562484447304845,13.550306303706451,0
20000048,41-43 : Construction,0,1,323372.0,142.73,4418.74,316826.6856,13288.0,35853.0,75343.0,39782.0,10021.0,9730.0,5171.0,2021-04-01,0.0,72.0,814.0,3.0,17.0,0.0,0.0,1.0,0.0,0.0,1,0.5051119399120599,0.4948880600879401,261284.5760000001,255995.9619446974,41-43 : Construction,1.8938491315385968,1.3809337870251577,0.02024075726792272,24.333809917977273,0.0,12.473369249066593,12.452920855987756,0
20000049,46 : Wholesale,1,1,1260872.0,80.25,7101.51,1253298.667,44905.0,71463.0,186393.0,97320.0,17788.0,35397.0,23357.0,2021-08-29,0.0,86.0,817.0,2.0,5.0,0.090174101732769,113698.0,1.0,0.0,0.0,4,0.5015061294733085,0.4984938705266915,859914.7040000003,854749.6908362091,46 : Wholesale,1.9152392597692174,1.8571168700324638,0.006006420154924486,28.07802966196054,0.0,13.664589644820902,13.658565115733113,1
20000050,"69-75 : Professional, scientific & technical",1,1,199610.0,130.27,3865.44,190049.1864,9299.0,14282.0,80679.0,69975.0,17863.0,14284.0,8397.0,,,,,,,,,,0.0,0.0,1,0.5122681742043378,0.4877318257956622,93816.69999999998,89323.11762719776,"69-75 : Professional, scientific & technical",1.1529524408368583,5.899250857662956,0.047897228108671336,21.463440860215055,0.0,11.449108816553172,11.400026804613857,0
20000051,"69-75 : Professional, scientific & technical",1,2,775000.0,111.33,3425.61,766157.4321,36095.0,111790.0,219886.0,166125.0,74299.0,16270.0,28241.0,2021-01-01,3.0,90.0,821.0,6.0,0.0,0.0885109677419354,68596.0,1.0,0.0,0.0,2,0.5028688074639989,0.497131192536001,673475.0,665790.808504567,"69-75 : Professional, scientific & technical",1.3236097901592767,1.6315714145145852,0.01140975030999963,21.47052304964539,0.0,13.420207639453748,13.408732300810017,1
20000052,77-82 : Business administration & support services,0,1,387275.0,145.77,2760.72,381281.2549,18041.0,58882.0,128297.0,86922.0,35263.0,17757.0,10430.0,2021-07-15,0.0,67.0,736.0,0.0,11.0,0.1249809566845265,48402.0,3.0,0.0,0.0,1,0.5038993535083353,0.4961006464916647,209128.50000000003,205891.8776686146,77-82 : Business administration & support services,1.4759844920216743,1.7777456990982117,0.015476675807434491,21.465192329010087,0.0,12.250708956288335,12.235111301201538,0
20000053,41-43 : Construction,0,1,1466856.0,0.02,994890.39,1968520.752,60281.0,153038.0,328011.0,156943.0,36364.0,54394.0,32958.0,2021-07-24,0.0,63.0,623.0,0.0,15.0,0.3917323854556957,574615.0,5.0,0.0,0.0,3,0.4269854824935952,0.5730145175064049,1035600.336000001,1389775.6509119943,41-43 : Construction,2.089987511469059,1.3809355785126667,-0.3419997668484386,24.333233801134668,0.0,13.850492816932077,14.144653609398885,0
20000054,85 : Education,1,1,179138.0,0.08,54244.71,103362.626,8343.0,19101.0,51317.0,32398.0,12354.0,12171.0,5183.0,2021-03-02,0.0,13.0,580.0,6.0,18.0,0.0830477062376491,14877.0,4.0,7508.0,90.0,1,0.6341154090044389,0.3658845909955611,139548.502,80519.48565399999,85 : Education,1.5839069107071206,2.3332111820751753,0.42299763870513957,21.46907957813998,8.923857580099885,11.8461746703447,11.296266911205981,0
20000055,"69-75 : Professional, scientific & technical",1,1,164256.0,70.11,2344.85,159298.591,7650.0,29043.0,59211.0,44729.0,17218.0,2656.0,8498.0,2021-05-18,0.0,56.0,700.0,3.0,10.0,0.1593549094097019,26175.0,4.0,0.0,0.0,1,0.5076608540742675,0.4923391459257325,86398.65599999999,83791.05885904728,"69-75 : Professional, scientific & technical",1.3237424547283703,1.6314901528715053,0.030180808123854777,21.468566200496667,0.0,11.36673897330274,11.336093518961347,0
20000056,"01-03 : Agriculture, forestry & fishing",0,1,205265.0,326.7,3590.11,199729.8376,14626.0,269519.0,20791.0,14142.0,460492.0,197622.0,3535.0,2021-07-22,0.0,44.0,665.0,1.0,21.0,0.0,0.0,2.0,0.0,0.0,1,0.5068336208829407,0.4931663791170593,170985.745,166374.95475415303,"01-03 : Agriculture, forestry & fishing",1.470055858021636,0.7857079252003561,0.02696580242222288,14.03329459219252,0.0,12.0493413178605,12.022005294248359,0
20000057,"01-03 : Agriculture, forestry & fishing",0,1,152612.0,0.04,25863.71,65928.384,10867.0,173173.0,33645.0,20911.0,275593.0,115153.0,3764.0,2021-04-05,1.0,45.0,701.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,1,0.6983240223463687,0.3016759776536312,77679.508,33557.54745599999,"01-03 : Agriculture, forestry & fishing",1.6088848508033664,0.7857068613071246,0.5679962781676527,14.042326094957675,0.0,11.260359642593668,10.421046877642066,0
