covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
working_capital,-0.023287346273213185,0.9769817113819957,0.08014424667219881,-0.18036718331881693,0.13379249077239055,0.8349635704231101,1.1431555796993784,0.0,-0.2905679102389182,0.7713818055183229,0.37448297717846774
receivable_turnover_proxy,-2.724117708485036e-05,0.9999727591939527,0.0812443346154861,-0.15926321097135843,0.1592087286171887,0.8527718705141303,1.1725826726989794,0.0,-0.0003352994053527257,0.9997324697862355,0.0003860161504802376
factor_percent,0.005815511457933284,1.0058324543726738,0.08008652385158048,-0.15115119093817247,0.16278221385403902,0.8597177073059648,1.176780375316038,0.0,0.07261535622036512,0.9421122064849909,0.08602919842610678
log_factor_amount,0.010021393204934148,1.0100717755255224,0.08042006692867854,-0.14759904160957646,0.16764182801944474,0.8627769832685139,1.1825129917678394,0.0,0.12461309207590857,0.900829863214718,0.1506734402071808
uk_interest_rate_diff,0.003499270248863355,1.0035053998426169,0.08080854541534604,-0.1548825684082842,0.1618811089060109,0.8565157535863652,1.175720450320648,0.0,0.04330322035717304,0.9654598241583867,0.050711869573086495
uk_cpi_diff,0.019833256085949387,1.0200312418440125,0.08054510353211505,-0.13803224596804603,0.1776987581399448,0.8710706027780998,1.1944654440403502,0.0,0.24623788680141734,0.8054980888231561,0.31204692898298686
uk_gdp_yoy,0.006854722764650783,1.0068782701495913,0.07966416432967627,-0.14928417017999515,0.16299361570929674,0.8613243174322166,1.177029175168059,0.0,0.08604524785176566,0.9314304479956566,0.10248005097868951
credit_report_total_indebtedness,-0.0029550516723558557,0.9970493101952648,0.08114244699674913,-0.16199132540343442,0.1560812220587227,0.8504485818065826,1.168921141415864,0.0,-0.036418074407766454,0.9709490024452716,0.04253257251935919
payment_index,0.009278205704537744,1.009321381683649,0.08086177292856456,-0.1492079569615047,0.1677643683705802,0.8613899642321574,1.1826579062038243,0.0,0.11474155671474527,0.9086499739419612,0.13820344195186965
credit_report_negative_items,0.005306811161318355,1.0053209172253699,0.08113997586407033,-0.15372461923870875,0.16433824156134544,0.8575081297416461,1.1786129035480495,0.0,0.06540316415928674,0.9478530048412306,0.07726475478262818
credit_report_good_standing_items,-0.003467499760918727,0.9965385050737845,0.08117851444600095,-0.1625744643935451,0.15563946487170763,0.8499527966493241,1.1684048761409331,0.0,-0.04271450130102183,0.9659291197537831,0.050010767453134805
business_failure_score,-0.014236782025437279,0.9858640817300091,0.08047519408545563,-0.17196526408180107,0.14349170003092654,0.8420084205961494,1.1542972301360364,0.0,-0.17690894923868605,0.8595799090232519,0.21829633186486475
credit_report_credit_score,-0.005895710552780953,0.9941216350437334,0.08109781115561153,-0.16484449964281017,0.15305307853724825,0.8480255621134798,1.1653868343296212,0.0,-0.07269876299704547,0.9420458329316466,0.08613084254968079
ratio_debt_to_revenue,-0.010347116565055211,0.9897062306902504,0.0807709286542788,-0.16865522772529593,0.1479609945951855,0.8448001168399404,1.1594676699751063,0.0,-0.12810446453257507,0.8980663029758069,0.15510613383712094
credit_signal_score,-0.005082540518983355,0.9949303537356404,0.0811436185609236,-0.16412111047364947,0.15395602943568276,0.848639236556246,1.1664395966435133,0.0,-0.06263635525654211,0.9500560789348773,0.07391542100860203
ca_cum_new_accounts,-0.020148775118421693,0.9800528549803956,0.07921809945437976,-0.17541339697271813,0.13511584673587473,0.8391100634985783,1.1446693828822754,0.0,-0.25434560103306947,0.7992285732902386,0.3233199329191371
log_ca_cum_amount,-0.029403082081852994,0.9710249828006843,0.08001529331058023,-0.18623017518299895,0.12742401101929296,0.8300825085977839,1.1358985491886155,0.0,-0.36746827844178004,0.7132697494010655,0.4874803064017582
log_ca_cum_payin,-0.028034102788617236,0.9723552062117575,0.07996827763177826,-0.18476904685260262,0.12870084127536816,0.831296252169287,1.1373498251434087,0.0,-0.3505652943746394,0.7259144971229197,0.4621284665578073
log_ca_cum_payout,-0.028481131245487287,0.9719206329049493,0.08005068857122438,-0.1853775977827192,0.12841533529174462,0.8307905199593378,1.137025151313223,0.0,-0.3557887103013043,0.7219988044772365,0.469931646661606
ca_latest_rev_ratio,0.003552324850025228,1.0035586418337232,0.07991437127216719,-0.1530769646905848,0.16018161439063527,0.8580636786644007,1.173724016808137,0.0,0.04445163984243773,0.9645443996571299,0.05208044532127748
ca_latest_cost_ratio,-0.003552324850025258,0.9964539771913868,0.07991437127216719,-0.1601816143906353,0.15307696469058477,0.8519890414438585,1.1654146712706999,0.0,-0.044451639842438107,0.9645443996571297,0.05208044532127781
